RecordNumber,LogonType,WorkstationName,DestPort,DestAddress,FilterRTID,Direction,RemoteMachineID,KeyLength,SubjectUserSid,SubjectDomainName,ProcessID,TokenElevationType,IpAddress,RemoteUserID,TargetDomainName,TargetLogonId,SubjectUserName,LayerName,LogonGuid,PrivilegeList,CommandLine,SourceAddress,ProcessId,IpPort,TargetUserName,LayerRTID,ProcessName,EventID,NewProcessName,TargetInfo,TransmittedServices,TargetServerName,Application,Protocol,NewProcessId,Timestamp,AuthenticationPackageName,LogonProcessName,LmPackageName,SubjectLogonId,SourcePort,TargetLogonGuid,TargetUserSid
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,,,,,,,,2019-02-13 18:01:41.593830+00:00,,,,,,,
2,,,547,ff02::1:2,65865,%%14593,S-1-0-0,,,,820,,,S-1-0-0,,,,%%14611,,,,fe80::80ac:4126:fa58:1b81,,,,50,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:01:47.512341+00:00,,,,,546,,
3,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000278,,,,,4688,C:\Windows\System32\TSTheme.exe,,,,,,0x000001fc,2019-02-13 18:01:47.562412+00:00,,,,0x00000000000003e7,,,
4,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:02:04.426662+00:00,,,,,49263,,
5,,,,,,,,,S-1-5-18,EXAMPLE,,,127.0.0.1,,EXAMPLE,,PC01$,,{00000000-0000-0000-0000-000000000000},,,,0x00000704,0,user01,,C:\Windows\System32\winlogon.exe,4648,,localhost,,localhost,,,,2019-02-13 18:02:04.426662+00:00,,,,0x00000000000003e7,,{00000000-0000-0000-0000-000000000000},
6,11,PC01,,,,,,0,S-1-5-18,EXAMPLE,,,127.0.0.1,,EXAMPLE,0x00000000001414c8,PC01$,,{00000000-0000-0000-0000-000000000000},,,,0x00000704,0,user01,,C:\Windows\System32\winlogon.exe,4624,,,-,,,,,2019-02-13 18:02:04.426662+00:00,Negotiate,User32 ,-,0x00000000000003e7,,,S-1-5-21-1587066498-1489273250-1035260531-1106
7,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:02:04.466719+00:00,,,,,49264,,
8,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:02:04.476734+00:00,,,,,49265,,
9,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:02:04.476734+00:00,,,,,49266,,
10,,,,,,,,,S-1-5-18,EXAMPLE,,,-,,EXAMPLE,,PC01$,,{00000000-0000-0000-0000-000000000000},,,,0x00000208,-,user01,,C:\Windows\System32\lsass.exe,4648,,localhost,,localhost,,,,2019-02-13 18:02:04.526806+00:00,,,,0x00000000000003e7,,{42daf7a9-f185-f292-0ebd-b86a26624d31},
