EventID,Method,AppVersion,ModulePath,RecordNumber,ExtraInfo,AppPath,P7,AppName,ErrorCode,Unknown,IntegratorReportId,Timestamp,Component,CabGuid,User,P10,AnalysisSymbol,P2,AttachedFiles,PackageRelativeAppId,P4,EventName,ProcessId,P3,ExceptionCode,Bucket,Context,StorePath,ReportStatus,param1,HashedBucket,CabId,P8,AppTimeStamp,ModuleVersion,Event,ReportId,BucketType,Stage,RepairTriggerError,param3,Url,PackageFullName,P5,FaultingOffset,Reason,Response,P9,param2,PackageFamily,Operation,Rechecking,P1,MessageText,OperationError,P6,ModuleTimeStamp,ProcessCreationTime,Error,ModuleName
1531,,,,1,,,,,,,,2026-04-01 19:16:02.070658+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5615,,,,2,,,,,,,,2026-04-01 19:16:09.234800+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5617,,,,3,,,,,,,,2026-04-01 19:16:09.584856+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,4,,,,,,"<string>Service stopped</string>
",,2026-04-01 19:16:38.559408+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4112,,,,5,,,,,,"<string>‎Thursday, ‎September ‎4, ‎2025 8:20:48 PM</string>
",,2026-04-01 19:16:58.374254+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4097,,,,6,,,,,,"<string>CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US</string>
<string>DF3C24F9BFD666761B268073FE06D1CC8D4F82A4</string>
",,2026-04-01 19:17:28.774267+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,,,,7,,,,,,"<string>Catalog Database</string>
<string>1756,D,0,0</string>
<string>Catalog Database: </string>
<string>C:\WINDOWS\system32\CatRoot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb</string>
<string>39092224 (0x0000000002548000)</string>
<string>4096 (0x00001000)</string>
<string>15</string>
",,2026-04-01 19:17:30.781914+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,GET(344ms),,,8,,,,,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),,,2026-04-01 19:17:54.122599+00:00,,,,,,,,,,,,,,,Local system,,,,,,,,,,,,GetCACaps,,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep,,,,,,,,,,,,"GetCACaps
GetCACaps: Not Found
{""Message"":""The authority \""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\"" does not exist.""}
HTTP/1.1 404 Not Found
Date: Wed, 01 Apr 2026 16:17:15 GMT
Content-Length: 121
Content-Type: application/json; charset=utf-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000;includeSubDomains
x-ms-request-id: 21ced612-0791-480c-9268-78a446fa8810
",,,,,,
1532,,,,9,,,,,,,,2026-04-01 19:17:57.908987+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4625,,,,10,,,,,,,,2026-04-01 19:18:19.339716+00:00,,,,,,,,,,,,,,,,,,86400,,,,,,,,,,,Software\Microsoft\EventSystem\EventLog,,,,,,,,SuppressDuplicateDuration,,,,,,,,,,,
1531,,,,11,,,,,,,,2026-04-01 19:18:11.126183+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,,,,12,,,,,,,,2026-04-01 19:18:18.130188+00:00,{D63AA156-D534-4BAC-9BF1-55359CF5EC30},,,,,,,,,,,,,,,,,,,,,,,Create,,,,,,,,,,,,,,,,,,,,,,,See Tracelogging for error details,
5615,,,,13,,,,,,,,2026-04-01 19:18:20.414312+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,14,"
",,,,,,,2026-04-01 16:17:45.517582+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Index Reset,,,,,,,,,,,,,,
1010,,,,15,"
",,,,,,,2026-04-01 16:17:45.519804+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,,,16,"
",,,,,,,2026-04-01 16:17:46.392076+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Index Reset,,,,,,,,,,,,,,
1005,,,,17,"
",,,,,,,2026-04-01 16:17:46.481220+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,,,18,"
",,,,,,,2026-04-01 16:17:46.511967+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5617,,,,19,,,,,,,,2026-04-01 16:17:48.656155+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,GET(234ms),,,20,,,,,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),,,2026-04-01 16:17:51.783461+00:00,,,,,,,,,,,,,,,Local system,,,,,,,,,,,,GetCACaps,,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep,,,,,,,,,,,,"GetCACaps
GetCACaps: Not Found
{""Message"":""The authority \""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\"" does not exist.""}
HTTP/1.1 404 Not Found
Date: Wed, 01 Apr 2026 16:17:51 GMT
Content-Length: 121
Content-Type: application/json; charset=utf-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000;includeSubDomains
x-ms-request-id: 786d1892-ef44-49fd-bd2a-169ee429af96
",,,,,,
86,GET(250ms),,,21,,,,,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),,,2026-04-01 16:17:52.062466+00:00,,,,,,,,,,,,,,,WORKGROUP\WIN-2RR949GCCSV$,,,,,,,,,,,,GetCACaps,,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep,,,,,,,,,,,,"GetCACaps
GetCACaps: Not Found
{""Message"":""The authority \""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\"" does not exist.""}
HTTP/1.1 404 Not Found
Date: Wed, 01 Apr 2026 16:17:51 GMT
Content-Length: 121
Content-Type: application/json; charset=utf-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000;includeSubDomains
x-ms-request-id: 24265d19-b314-48f5-ab25-28226e424174
",,,,,,
6003,,,,22,,,,,,"<string>SessionEnv</string>
",,2026-04-01 16:17:55.673452+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,,,,23,,,,,,"<string>SessionEnv</string>
",,2026-04-01 16:17:56.300859+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,24,,,,,,,,2026-04-01 16:18:03.266760+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,InitializeDataChangedSignaler,,,,-2147024894,,,,,
24,,,,25,,,,,,,,2026-04-01 16:18:03.312799+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,InitializeDataChangedSignaler,,,,-2147024894,,,,,
23,,,,26,,,,,,,,2026-04-01 16:18:04.371515+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,InitializeDataChangedSignaler,,,,-2147024894,,,,,
24,,,,27,,,,,,,,2026-04-01 16:18:04.440718+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,InitializeDataChangedSignaler,,,,-2147024894,,,,,
0,,,,28,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:18:05.483015+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,29,,,,,,,,2026-04-01 16:18:05.557135+00:00,,0,,,,1.3.223.11,,,0xa043081c,crashpad_log,,CriticalRequestError|unknown,,,,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_MicrosoftEdgeUpd_7541d642bd65f41c97ab6fa4b649cacddb462f_00000000_147adcaf-58ef-422f-8587-2b8d1ed1d9d9,6,,,0,,,,,147adcaf-58ef-422f-8587-2b8d1ed1d9d9,0,,,,,,,,,Not available,,,,,0,MicrosoftEdgeUpdate.exe,,,,,,,
1001,,,,30,,,,,,,,2026-04-01 16:18:05.565447+00:00,,0,,,,1.3.223.11,"
\\?\C:\ProgramData\Microsoft\EdgeUpdate\Log\MicrosoftEdgeUpdate.log
\\?\C:\Windows\SystemTemp\msedge_installer.log",,0xa043081c,crashpad_log,,CriticalRequestError|unknown,,,,NULL,262148,,,0,,,,,147adcaf-58ef-422f-8587-2b8d1ed1d9d9,0,,,,,,,,,Not available,,,,,0,MicrosoftEdgeUpdate.exe,,,,,,,
0,,,,31,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:18:06.380362+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,32,,,,,,,,2026-04-01 16:18:06.813553+00:00,,0,,,,1.3.223.11,,,0xa043081c,crashpad_log,,CriticalRequestError|unknown,,,,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_MicrosoftEdgeUpd_7541d642bd65f41c97ab6fa4b649cacddb462f_00000000_147adcaf-58ef-422f-8587-2b8d1ed1d9d9,6,,,0,,,,,147adcaf-58ef-422f-8587-2b8d1ed1d9d9,0,,,,,,,,,Not available,,,,,0,MicrosoftEdgeUpdate.exe,,,,,,,
23,,,,33,,,,,,,,2026-04-01 16:18:10.132607+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,InitializeDataChangedSignaler,,,,-2147024894,,,,,
24,,,,34,,,,,,,,2026-04-01 16:18:10.249475+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,InitializeDataChangedSignaler,,,,-2147024894,,,,,
4109,,,,35,,,,,,"<string>OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US</string>
<string>742C3192E607E424EB4549542BE1BBC53E6174E2</string>
",,2026-04-01 16:18:52.959812+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108,,,,36,,,,,,"<string>OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US</string>
<string>4F65566336DB6598581D584A596C87934D5F2AB4</string>
",,2026-04-01 16:18:52.959812+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4111,,,,37,,,,,,"<string>‎Tuesday, ‎August ‎26, ‎2025 12:56:46 PM</string>
",,2026-04-01 16:18:52.959812+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4097,,,,38,,,,,,"<string>CN=DigiCert Global Root G3, OU=www.digicert.com, O=DigiCert Inc, C=US</string>
<string>7E04DE896A3E666D00E687D33FFAD93BE83D349E</string>
",,2026-04-01 16:18:52.976566+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,,,,39,,,,,,"<string>2026-04-01T19:20:03Z</string>
<string>RulesEngine</string>
",,2026-04-01 16:19:03.825722+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,,,,40,,,,,,,,2026-04-01 16:19:03.913687+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4113,,,,41,,,,,,"<string>‎Wednesday, ‎May ‎31, ‎2017 4:28:59 PM</string>
",,2026-04-01 16:19:32.863476+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4097,,,,42,,,,,,"<string>CN=DigiCert Assured ID Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US</string>
<string>0563B8630D62D75ABBC8AB1E4BDFB5A899B24D43</string>
",,2026-04-01 16:19:34.915995+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,,,,43,,,,,,"<string>MSIXDeployment</string>
<string>windows.applicationData</string>
<string>DeleteMachineFolder</string>
<string>Package Microsoft.MicrosoftEdge.Stable_145.0.3800.97_neutral__8wekyb3d8bbwe removed machine folder C:\ProgramData\Microsoft\Windows\AppRepository\Families\ApplicationData\Microsoft.MicrosoftEdge.Stable_8wekyb3d8bbwe: The system cannot find the path specified.</string>
",,2026-04-01 16:19:41.106510+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,44,,,,,,,,2026-04-01 16:19:42.846962+00:00,,0,,,,146.0.3856.97,,,0x220,crashpad_log,,EdgeInstallerError|msedge,,,,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_setup.exe_4d9ddccf5c67af39c5e753567f54bfe6706fcd_00000000_d7706e3a-dca4-4751-b0e5-63e41bb5aba6,6,,,0,,,,,d7706e3a-dca4-4751-b0e5-63e41bb5aba6,0,,,,,,,,,Not available,,,,,0,setup.exe,,,,,,,
1001,,,,45,,,,,,,,2026-04-01 16:19:42.933550+00:00,,0,,,,146.0.3856.97,"
\\?\C:\Windows\SystemTemp\msedge_installer.log",,0x220,crashpad_log,,EdgeInstallerError|msedge,,,,NULL,262148,,,0,,,,,d7706e3a-dca4-4751-b0e5-63e41bb5aba6,0,,,,,,,,,Not available,,,,,0,setup.exe,,,,,,,
4097,,,,46,,,,,,"<string>CN=Microsoft RSA Root Certificate Authority 2017, O=Microsoft Corporation, C=US</string>
<string>73A5E64A3BFF8316FF0EDCCC618A906E4EAE4D74</string>
",,2026-04-01 16:19:42.939671+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,,,,47,,,,,,"<string><explicit></string>
",,2026-04-01 16:19:55.869530+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16394,,,,48,,,,,,,,2026-04-01 16:19:56.140570+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,49,,,,,,,,2026-04-01 16:19:56.310253+00:00,,0,,,,1.3.223.11,,,0xa043081c,crashpad_log,,CriticalRequestError|unknown,,,,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_MicrosoftEdgeUpd_7541d642bd65f41c97ab6fa4b649cacddb462f_00000000_147adcaf-58ef-422f-8587-2b8d1ed1d9d9,6,,,0,,,,,147adcaf-58ef-422f-8587-2b8d1ed1d9d9,0,,,,,,,,,Not available,,,,,0,MicrosoftEdgeUpdate.exe,,,,,,,
1,,,,50,,,,,,,,2026-04-01 16:19:57.406963+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,51,,,,,,,,2026-04-01 16:19:57.435835+00:00,,0,,,,146.0.3856.97,,,0x220,crashpad_log,,EdgeInstallerError|msedge,,,,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_setup.exe_4d9ddccf5c67af39c5e753567f54bfe6706fcd_00000000_d7706e3a-dca4-4751-b0e5-63e41bb5aba6,6,,,0,,,,,d7706e3a-dca4-4751-b0e5-63e41bb5aba6,0,,,,,,,,,Not available,,,,,0,setup.exe,,,,,,,
16,,,,52,,,,,,"<string>Windows Defender</string>
<string>SECURITY_PRODUCT_STATE_ON</string>
",,2026-04-01 16:19:59.506359+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,53,,,,,,"<string>Windows Defender</string>
<string>SECURITY_PRODUCT_STATE_ON</string>
",,2026-04-01 16:19:59.525372+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,54,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:20:39.460041+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,55,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:21:11.266569+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,,,,56,,,,,,"<string>2026-04-01T19:20:28Z</string>
<string>RulesEngine</string>
",,2026-04-01 16:21:28.805496+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16394,,,,57,,,,,,,,2026-04-01 16:22:00.163301+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,58,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:22:10.712015+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,,,,59,,,,,,"<string>2026-04-01T19:20:41Z</string>
<string>RulesEngine</string>
",,2026-04-01 16:22:41.343395+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16394,,,,60,,,,,,,,2026-04-01 16:22:42.943905+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,,,,61,,,,,,"<string>AAD-AddDeviceJoinUserToAdminGroup-Policy</string>
<string>100</string>
",,2026-04-01 16:22:51.660219+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,,,,62,,,,,,"<string>Security-SPP-WriteWauMarker</string>
<string>500</string>
",,2026-04-01 16:22:51.663242+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,,,,63,,,,,,"<string>2026-04-01T19:20:24Z</string>
<string>RulesEngine</string>
",,2026-04-01 16:23:24.919819+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,64,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:23:44.637442+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16394,,,,65,,,,,,,,2026-04-01 16:24:01.301516+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,66,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:24:07.835255+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,,,,67,,,,,,"<string>2026-04-01T19:20:37Z</string>
<string>RulesEngine</string>
",,2026-04-01 16:24:37.728781+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,68,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:25:08.090357+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,69,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:26:07.940380+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,70,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:27:07.869680+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,71,,,,,,"<string>Service stopped</string>
",,2026-04-01 16:28:07.923723+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
