TargetUserName,Timestamp,SubjectUserName,EventID,ParentProcessName,CommandLine,ProcessName
,2026-04-20 18:00:19.082523+00:00,,1102,,,
pizza,2026-04-20 18:00:18.158943+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,taskhostw.exe $(Arg0),
,2026-04-20 18:00:18.704304+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\ctfmon.exe
-,2026-04-20 18:00:19.056101+00:00,pizza,4688,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\system32\wevtutil.exe"" cl Security",
pizza,2026-04-20 18:00:19.073996+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
pizza,2026-04-20 18:00:19.074104+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
pizza,2026-04-20 18:00:19.082624+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
pizza,2026-04-20 18:00:19.082628+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
,2026-04-20 18:00:19.083939+00:00,pizza,4689,,,C:\Windows\System32\wevtutil.exe
,2026-04-20 18:00:19.781973+00:00,pizza,4689,,,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
-,2026-04-20 18:00:24.149845+00:00,pizza,4688,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\system32\wevtutil.exe"" cl system",
pizza,2026-04-20 18:00:24.156874+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
pizza,2026-04-20 18:00:24.156883+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
pizza,2026-04-20 18:00:24.167538+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
pizza,2026-04-20 18:00:24.167542+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
,2026-04-20 18:00:24.168566+00:00,pizza,4689,,,C:\Windows\System32\wevtutil.exe
,2026-04-20 18:00:24.439650+00:00,pizza,4689,,,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
,2026-04-20 18:00:27.628323+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Program Files\Windows Defender\MpCmdRun.exe
,2026-04-20 18:00:27.630829+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\conhost.exe
,2026-04-20 18:00:29.851439+00:00,pizza,4689,,,C:\Windows\System32\backgroundTaskHost.exe
,2026-04-20 18:00:29.851713+00:00,pizza,4689,,,C:\Windows\System32\backgroundTaskHost.exe
-,2026-04-20 18:00:31.446438+00:00,pizza,4688,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\system32\wevtutil.exe"" cl application",
pizza,2026-04-20 18:00:31.455210+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
pizza,2026-04-20 18:00:31.455212+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
pizza,2026-04-20 18:00:31.458138+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
pizza,2026-04-20 18:00:31.458139+00:00,pizza,4703,,,C:\Windows\System32\wevtutil.exe
,2026-04-20 18:00:31.459179+00:00,pizza,4689,,,C:\Windows\System32\wevtutil.exe
-,2026-04-20 18:00:34.338362+00:00,pizza,4688,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=edge_search_indexer.mojom.SearchIndexerInterfaceBroker --lang=en-US --service-sandbox-type=search_indexer --message-loop-type-ui --skip-read-main-dll --metrics-shmem-handle=6824,i,14182499647159006810,3446584055099941156,524288 --field-trial-handle=2316,i,11653587304601885560,1287113618954745513,262144 --variations-seed-version --pseudonymization-salt-handle=2368,i,15542423599154470718,16582211970420337290,4 --trace-process-track-uuid=3190709009737917719 --mojo-platform-channel-handle=9692 /prefetch:14",
pizza,2026-04-20 18:00:34.375177+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,
,2026-04-20 18:00:34.960791+00:00,pizza,4689,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
,2026-04-20 18:00:35.000912+00:00,pizza,4689,,,C:\Windows\System32\conhost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.483963+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.485718+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.486275+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.486588+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.486702+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.486900+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.488218+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.488316+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.488400+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.488497+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.488903+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.488995+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
DESKTOP-A3EGFSV$,2026-04-20 18:00:36.489594+00:00,DESKTOP-A3EGFSV$,4703,,,C:\Windows\System32\svchost.exe
