LogonType,VirtualAccount,Resource,TargetProcessName,SidHistory,TargetName,TargetInfo,MasterKeyId,FailureReason,KeyType,TargetOutboundDomainName,NewUacValue,Schema,EventCountTotal,EnabledPrivilegeList,Status,ClientCreationTime,CallerProcessId,ProcessName,RecordNumber,SessionId,SchemaFriendlyName,NewProcessName,PasswordLastSet,OldUacValue,CountOfCredentialsReturned,LmPackageName,UserParameters,DisabledPrivilegeList,UserWorkstations,AuthenticationPackageName,CryptoAlgorithms,TargetSid,VsmLaunchType,ReadOperation,LogonGuid,TargetOutboundUserName,LoadOptions,EventID,TargetDomainName,TargetServerName,AlgorithmName,LogonProcessName,Timestamp,DisplayName,HomePath,VendorIds,UserAccountControl,TargetUserSid,NewProcessId,TargetProcessId,SubjectUserName,EventIdx,Type,TokenElevationType,KernelDebug,SubjectDomainName,AllowedToDelegateTo,ProcessCreationTime,DataDescription,TestSigning,PrivilegeList,PackageSid,ProtectedDataFlags,FlightSigning,KeyFilePath,AdvancedOptions,TargetLinkedLogonId,RestrictedAdminMode,RemoteCredentialGuard,SubjectLogonId,UserPrincipalName,PuaPolicyId,Identity,HomeDirectory,ElevatedToken,DeviceDescription,Operation,PuaCount,TargetUserName,HypervisorLoadOptions,SubjectUserSid,TargetLogonId,MandatoryLabel,ProcessId,TransmittedServices,SamAccountName,ScriptPath,ClientProcessId,KeyLength,ImpersonationLevel,DisableIntegrityChecks,GroupMembership,CompatibleIds,IpAddress,DeviceId,RemoteEventLogging,HypervisorDebug,PrimaryGroupId,HypervisorLaunchType,TargetLogonGuid,ProviderName,CallerProcessName,Flags,Dummy,WorkstationName,ParentProcessName,AccountExpires,LogonHours,ClassId,IpPort,ReturnCode,ClassName,KeyName,CommandLine,ProfilePath,LocationInformation,ConfigAccessPolicy
,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1101,,,,,2026-04-18 17:00:02.450777+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2,,,Registry,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:57.561752+00:00,,,,,S-1-0-0,0x000000000000004c,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Registry,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,4696,-,,,,2026-04-18 16:59:57.561880+00:00,,,,,S-1-0-0,,0x000000000000004c,-,,,,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x00000000000003e7,,0x0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,%%1848,,,,-,4826,,,,,2026-04-18 16:59:57.561886+00:00,,,,,,,,-,,,,%%1843,-,,,,%%1843,,,,%%1843,,%%1843,,,,0x00000000000003e7,,,,,,,,,,-,S-1-5-18,,,,,,,,,,%%1843,,,,,%%1843,%%1843,,%%1848,,,,,,,,,,,,,,,,,,%%1846
,,,,,,,,,,,,,,,,,,,5,,,C:\Windows\System32\smss.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:57.573570+00:00,,,,,S-1-0-0,0x0000000000000180,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,6,,,C:\Windows\System32\autochk.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:58.512703+00:00,,,,,S-1-0-0,0x00000000000001a4,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x0000000000000180,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,7,,,C:\Windows\System32\smss.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:58.927219+00:00,,,,,S-1-0-0,0x000000000000020c,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x0000000000000180,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,8,,,C:\Windows\System32\csrss.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:59.044552+00:00,,,,,S-1-0-0,0x0000000000000228,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x000000000000020c,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,9,,,C:\Windows\System32\smss.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:59.164501+00:00,,,,,S-1-0-0,0x0000000000000260,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x0000000000000180,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,10,,,C:\Windows\System32\wininit.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:59.170769+00:00,,,,,S-1-0-0,0x0000000000000268,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x000000000000020c,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,11,,,C:\Windows\System32\csrss.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:59.176004+00:00,,,,,S-1-0-0,0x0000000000000270,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x0000000000000260,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,12,,,C:\Windows\System32\winlogon.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:59.201494+00:00,,,,,S-1-0-0,0x00000000000002a0,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x0000000000000260,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,13,,,C:\Windows\System32\services.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:59.362688+00:00,,,,,S-1-0-0,0x00000000000002e4,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x0000000000000268,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\wininit.exe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,14,,,C:\Windows\System32\lsass.exe,,,,,,,,,,,,,,,,4688,-,,,,2026-04-18 16:59:59.421465+00:00,,,,,S-1-0-0,0x00000000000002ec,,-,,,%%1936,,-,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,-,,S-1-5-18,0x0000000000000000,S-1-16-16384,0x0000000000000268,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\wininit.exe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C:\Windows\System32\lsass.exe,15,,,,,,,,,,,,,,,,,,,6417,,,,,2026-04-18 16:59:59.525982+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x00000000000002ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,4608,,,,,2026-04-18 16:59:59.529968+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,%%1843,,,,,,,,,-,,,,,,,,,17,,,,,,,-,,,,-,,,,,{00000000-0000-0000-0000-000000000000},-,,4624,NT AUTHORITY,,,-,2026-04-18 16:59:59.538771+00:00,,,,,S-1-5-18,,,-,,,,,-,,,,,,,,,,,0x0000000000000000,-,-,0x0000000000000000,,,,,%%1842,,,,SYSTEM,,S-1-0-0,0x00000000000003e7,,0x0000000000000004,-,,,,0,-,,,,-,,,,,,,,,,,-,,,,,-,,,,,,,
0,,,,,,,,,,,,,1,,,,,,18,,,,,,,,,,,,,,,,,,,4627,NT AUTHORITY,,,,2026-04-18 16:59:59.538786+00:00,,,,,S-1-5-18,,,ANONYMOUS LOGON,1,,,,NT AUTHORITY,,,,,,,,,,,,,,0x0000000000000000,,,,,,,,,SYSTEM,,S-1-5-7,0x00000000000003e7,,,,,,,,,,"
		%{S-1-5-32-544}
		%{S-1-1-0}
		%{S-1-5-11}
		%{S-1-16-16384}",,,,,,,,,,,,,,,,,,,,,,,,,
