EventID,RecordNumber,ErrorCode,Timestamp,Component,User,EventName,StorePath,Event,Url,Reason,PackageFamily,Operation,MessageText
1531,1,,2026-04-01 19:16:02.070658+00:00,,,,,,,,,,
5615,2,,2026-04-01 19:16:09.234800+00:00,,,,,,,,,,
5617,3,,2026-04-01 19:16:09.584856+00:00,,,,,,,,,,
0,4,,2026-04-01 19:16:38.559408+00:00,,,,,,,,,,
4112,5,,2026-04-01 19:16:58.374254+00:00,,,,,,,,,,
4097,6,,2026-04-01 19:17:28.774267+00:00,,,,,,,,,,
508,7,,2026-04-01 19:17:30.781914+00:00,,,,,,,,,,
86,8,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),2026-04-01 19:17:54.122599+00:00,,,,,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep,,,,"GetCACaps
GetCACaps: Not Found
{""Message"":""The authority \""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\"" does not exist.""}
HTTP/1.1 404 Not Found
Date: Wed, 01 Apr 2026 16:17:15 GMT
Content-Length: 121
Content-Type: application/json; charset=utf-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000;includeSubDomains
x-ms-request-id: 21ced612-0791-480c-9268-78a446fa8810
"
1532,9,,2026-04-01 19:17:57.908987+00:00,,,,,,,,,,
4625,10,,2026-04-01 19:18:19.339716+00:00,,,,,,,,,,
1531,11,,2026-04-01 19:18:11.126183+00:00,,,,,,,,,,
1534,12,,2026-04-01 19:18:18.130188+00:00,{D63AA156-D534-4BAC-9BF1-55359CF5EC30},,,,Create,,,,,
5615,13,,2026-04-01 19:18:20.414312+00:00,,,,,,,,,,
1008,14,,2026-04-01 16:17:45.517582+00:00,,,,,,,Full Index Reset,,,
1010,15,,2026-04-01 16:17:45.519804+00:00,,,,,,,,,,
1004,16,,2026-04-01 16:17:46.392076+00:00,,,,,,,Full Index Reset,,,
1005,17,,2026-04-01 16:17:46.481220+00:00,,,,,,,,,,
1003,18,,2026-04-01 16:17:46.511967+00:00,,,,,,,,,,
5617,19,,2026-04-01 16:17:48.656155+00:00,,,,,,,,,,
86,20,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),2026-04-01 16:17:51.783461+00:00,,,,,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep,,,,"GetCACaps
GetCACaps: Not Found
{""Message"":""The authority \""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\"" does not exist.""}
HTTP/1.1 404 Not Found
Date: Wed, 01 Apr 2026 16:17:51 GMT
Content-Length: 121
Content-Type: application/json; charset=utf-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000;includeSubDomains
x-ms-request-id: 786d1892-ef44-49fd-bd2a-169ee429af96
"
86,21,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),2026-04-01 16:17:52.062466+00:00,,,,,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep,,,,"GetCACaps
GetCACaps: Not Found
{""Message"":""The authority \""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\"" does not exist.""}
HTTP/1.1 404 Not Found
Date: Wed, 01 Apr 2026 16:17:51 GMT
Content-Length: 121
Content-Type: application/json; charset=utf-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000;includeSubDomains
x-ms-request-id: 24265d19-b314-48f5-ab25-28226e424174
"
6003,22,,2026-04-01 16:17:55.673452+00:00,,,,,,,,,,
6000,23,,2026-04-01 16:17:56.300859+00:00,,,,,,,,,,
23,24,,2026-04-01 16:18:03.266760+00:00,,,,,,,,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,InitializeDataChangedSignaler,
24,25,,2026-04-01 16:18:03.312799+00:00,,,,,,,,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,InitializeDataChangedSignaler,
23,26,,2026-04-01 16:18:04.371515+00:00,,,,,,,,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,InitializeDataChangedSignaler,
24,27,,2026-04-01 16:18:04.440718+00:00,,,,,,,,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,InitializeDataChangedSignaler,
0,28,,2026-04-01 16:18:05.483015+00:00,,,,,,,,,,
1001,29,,2026-04-01 16:18:05.557135+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_MicrosoftEdgeUpd_7541d642bd65f41c97ab6fa4b649cacddb462f_00000000_147adcaf-58ef-422f-8587-2b8d1ed1d9d9,,,,,,
1001,30,,2026-04-01 16:18:05.565447+00:00,,,crashpad_log,,,,,,,
0,31,,2026-04-01 16:18:06.380362+00:00,,,,,,,,,,
1001,32,,2026-04-01 16:18:06.813553+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_MicrosoftEdgeUpd_7541d642bd65f41c97ab6fa4b649cacddb462f_00000000_147adcaf-58ef-422f-8587-2b8d1ed1d9d9,,,,,,
23,33,,2026-04-01 16:18:10.132607+00:00,,,,,,,,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,InitializeDataChangedSignaler,
24,34,,2026-04-01 16:18:10.249475+00:00,,,,,,,,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,InitializeDataChangedSignaler,
4109,35,,2026-04-01 16:18:52.959812+00:00,,,,,,,,,,
4108,36,,2026-04-01 16:18:52.959812+00:00,,,,,,,,,,
4111,37,,2026-04-01 16:18:52.959812+00:00,,,,,,,,,,
4097,38,,2026-04-01 16:18:52.976566+00:00,,,,,,,,,,
16384,39,,2026-04-01 16:19:03.825722+00:00,,,,,,,,,,
903,40,,2026-04-01 16:19:03.913687+00:00,,,,,,,,,,
4113,41,,2026-04-01 16:19:32.863476+00:00,,,,,,,,,,
4097,42,,2026-04-01 16:19:34.915995+00:00,,,,,,,,,,
2562,43,,2026-04-01 16:19:41.106510+00:00,,,,,,,,,,
1001,44,,2026-04-01 16:19:42.846962+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_setup.exe_4d9ddccf5c67af39c5e753567f54bfe6706fcd_00000000_d7706e3a-dca4-4751-b0e5-63e41bb5aba6,,,,,,
1001,45,,2026-04-01 16:19:42.933550+00:00,,,crashpad_log,,,,,,,
4097,46,,2026-04-01 16:19:42.939671+00:00,,,,,,,,,,
900,47,,2026-04-01 16:19:55.869530+00:00,,,,,,,,,,
16394,48,,2026-04-01 16:19:56.140570+00:00,,,,,,,,,,
1001,49,,2026-04-01 16:19:56.310253+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_MicrosoftEdgeUpd_7541d642bd65f41c97ab6fa4b649cacddb462f_00000000_147adcaf-58ef-422f-8587-2b8d1ed1d9d9,,,,,,
1,50,,2026-04-01 16:19:57.406963+00:00,,,,,,,,,,
1001,51,,2026-04-01 16:19:57.435835+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_setup.exe_4d9ddccf5c67af39c5e753567f54bfe6706fcd_00000000_d7706e3a-dca4-4751-b0e5-63e41bb5aba6,,,,,,
16,52,,2026-04-01 16:19:59.506359+00:00,,,,,,,,,,
15,53,,2026-04-01 16:19:59.525372+00:00,,,,,,,,,,
0,54,,2026-04-01 16:20:39.460041+00:00,,,,,,,,,,
0,55,,2026-04-01 16:21:11.266569+00:00,,,,,,,,,,
16384,56,,2026-04-01 16:21:28.805496+00:00,,,,,,,,,,
16394,57,,2026-04-01 16:22:00.163301+00:00,,,,,,,,,,
0,58,,2026-04-01 16:22:10.712015+00:00,,,,,,,,,,
16384,59,,2026-04-01 16:22:41.343395+00:00,,,,,,,,,,
16394,60,,2026-04-01 16:22:42.943905+00:00,,,,,,,,,,
1034,61,,2026-04-01 16:22:51.660219+00:00,,,,,,,,,,
1034,62,,2026-04-01 16:22:51.663242+00:00,,,,,,,,,,
16384,63,,2026-04-01 16:23:24.919819+00:00,,,,,,,,,,
0,64,,2026-04-01 16:23:44.637442+00:00,,,,,,,,,,
16394,65,,2026-04-01 16:24:01.301516+00:00,,,,,,,,,,
0,66,,2026-04-01 16:24:07.835255+00:00,,,,,,,,,,
16384,67,,2026-04-01 16:24:37.728781+00:00,,,,,,,,,,
0,68,,2026-04-01 16:25:08.090357+00:00,,,,,,,,,,
0,69,,2026-04-01 16:26:07.940380+00:00,,,,,,,,,,
0,70,,2026-04-01 16:27:07.869680+00:00,,,,,,,,,,
0,71,,2026-04-01 16:28:07.923723+00:00,,,,,,,,,,
1001,72,,2026-04-01 16:28:11.820980+00:00,,,AppxDeploymentFailureBlue,,,,,,,
0,73,,2026-04-01 16:29:08.081606+00:00,,,,,,,,,,
0,74,,2026-04-01 16:30:07.926476+00:00,,,,,,,,,,
16394,75,,2026-04-01 16:31:06.594921+00:00,,,,,,,,,,
0,76,,2026-04-01 16:31:09.955158+00:00,,,,,,,,,,
6000,77,,2026-04-01 16:31:34.304621+00:00,,,,,,,,,,
6000,78,,2026-04-01 16:31:34.370090+00:00,,,,,,,,,,
1532,79,,2026-04-01 16:31:34.867331+00:00,,,,,,,,,,
4625,80,,2026-04-01 16:31:54.591215+00:00,,,,,,,,,,
1531,81,,2026-04-01 16:31:53.696371+00:00,,,,,,,,,,
6003,82,,2026-04-01 16:31:55.455351+00:00,,,,,,,,,,
6000,83,,2026-04-01 16:31:58.153456+00:00,,,,,,,,,,
5615,84,,2026-04-01 16:31:57.459808+00:00,,,,,,,,,,
0,85,,2026-04-01 16:32:04.768066+00:00,,,,,,,,,,
1003,86,,2026-04-01 16:32:08.278051+00:00,,,,,,,,,,
1001,87,,2026-04-01 16:32:18.496347+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_MicrosoftEdgeUpd_7541d642bd65f41c97ab6fa4b649cacddb462f_00000000_147adcaf-58ef-422f-8587-2b8d1ed1d9d9,,,,,,
1001,88,,2026-04-01 16:32:18.878799+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_setup.exe_4d9ddccf5c67af39c5e753567f54bfe6706fcd_00000000_d7706e3a-dca4-4751-b0e5-63e41bb5aba6,,,,,,
86,89,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),2026-04-01 16:32:21.294371+00:00,,,,,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep,,,,"GetCACaps
GetCACaps: Not Found
{""Message"":""The authority \""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\"" does not exist.""}
HTTP/1.1 404 Not Found
Date: Wed, 01 Apr 2026 16:32:21 GMT
Content-Length: 121
Content-Type: application/json; charset=utf-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000;includeSubDomains
x-ms-request-id: ba0d4f41-5b70-44d7-9bdc-77f490ad1528
"
86,90,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),2026-04-01 16:32:21.595459+00:00,,,,,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep,,,,"GetCACaps
GetCACaps: Not Found
{""Message"":""The authority \""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\"" does not exist.""}
HTTP/1.1 404 Not Found
Date: Wed, 01 Apr 2026 16:32:21 GMT
Content-Length: 121
Content-Type: application/json; charset=utf-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000;includeSubDomains
x-ms-request-id: 83facaf2-920b-4cff-833a-b5bc1a36714c
"
4097,91,,2026-04-01 16:32:58.001629+00:00,,,,,,,,,,
5617,92,,2026-04-01 16:32:58.423372+00:00,,,,,,,,,,
4097,93,,2026-04-01 16:33:01.054394+00:00,,,,,,,,,,
4097,94,,2026-04-01 16:33:01.780930+00:00,,,,,,,,,,
0,95,,2026-04-01 16:33:07.196976+00:00,,,,,,,,,,
0,96,,2026-04-01 16:33:58.830261+00:00,,,,,,,,,,
900,97,,2026-04-01 16:33:59.303370+00:00,,,,,,,,,,
16394,98,,2026-04-01 16:33:59.343018+00:00,,,,,,,,,,
1066,99,,2026-04-01 16:33:59.370682+00:00,,,,,,,,,,
1003,100,,2026-04-01 16:33:59.391781+00:00,,,,,,,,,,
902,101,,2026-04-01 16:33:59.517756+00:00,,,,,,,,,,
1,102,,2026-04-01 16:34:01.100508+00:00,,,,,,,,,,
0,103,,2026-04-01 16:34:02.523701+00:00,,,,,,,,,,
15,104,,2026-04-01 16:34:03.120291+00:00,,,,,,,,,,
16384,105,,2026-04-01 16:34:29.565136+00:00,,,,,,,,,,
903,106,,2026-04-01 16:34:29.569742+00:00,,,,,,,,,,
1001,107,,2026-04-01 16:34:54.868172+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_MicrosoftEdgeUpd_7541d642bd65f41c97ab6fa4b649cacddb462f_00000000_147adcaf-58ef-422f-8587-2b8d1ed1d9d9,,,,,,
1001,108,,2026-04-01 16:34:54.889849+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_setup.exe_4d9ddccf5c67af39c5e753567f54bfe6706fcd_00000000_d7706e3a-dca4-4751-b0e5-63e41bb5aba6,,,,,,
0,109,,2026-04-01 16:35:02.309685+00:00,,,,,,,,,,
0,110,,2026-04-01 16:36:02.320648+00:00,,,,,,,,,,
16394,111,,2026-04-01 16:36:03.841923+00:00,,,,,,,,,,
16384,112,,2026-04-01 16:36:33.940302+00:00,,,,,,,,,,
0,113,,2026-04-01 16:37:02.082256+00:00,,,,,,,,,,
1001,114,,2026-04-01 16:37:07.116201+00:00,,,AppxDeploymentFailureBlue,,,,,,,
0,115,,2026-04-01 16:38:02.098381+00:00,,,,,,,,,,
0,116,,2026-04-01 16:39:02.094675+00:00,,,,,,,,,,
0,117,,2026-04-01 16:40:02.077047+00:00,,,,,,,,,,
0,118,,2026-04-01 16:41:02.162386+00:00,,,,,,,,,,
0,119,,2026-04-01 16:42:02.124294+00:00,,,,,,,,,,
0,120,,2026-04-01 16:43:02.424610+00:00,,,,,,,,,,
16394,121,,2026-04-01 16:43:55.442039+00:00,,,,,,,,,,
0,122,,2026-04-01 16:44:02.375448+00:00,,,,,,,,,,
16384,123,,2026-04-01 16:44:25.803284+00:00,,,,,,,,,,
0,124,,2026-04-01 16:45:02.557985+00:00,,,,,,,,,,
0,125,,2026-04-01 16:46:02.399546+00:00,,,,,,,,,,
0,126,,2026-04-01 16:47:02.427088+00:00,,,,,,,,,,
5,127,,2026-04-01 16:47:59.200512+00:00,,NormalVM\pizza,,,,,,,,
0,128,,2026-04-01 16:48:05.843029+00:00,,,,,,,,,,
0,129,,2026-04-01 16:49:06.101585+00:00,,,,,,,,,,
6000,130,,2026-04-01 16:49:30.842255+00:00,,,,,,,,,,
6000,131,,2026-04-01 16:49:30.890772+00:00,,,,,,,,,,
6003,132,,2026-04-01 16:49:32.165447+00:00,,,,,,,,,,
6000,133,,2026-04-01 16:49:34.411791+00:00,,,,,,,,,,
23,134,,2026-04-01 16:49:49.197721+00:00,,,,,,,,MicrosoftWindows.Client.CBS_cw5n1h2txyewy,InitializeDataChangedSignaler,
23,135,,2026-04-01 16:49:49.665964+00:00,,,,,,,,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,InitializeDataChangedSignaler,
24,136,,2026-04-01 16:49:49.932964+00:00,,,,,,,,MicrosoftWindows.Client.CBS_cw5n1h2txyewy,InitializeDataChangedSignaler,
23,137,,2026-04-01 16:49:50.827181+00:00,,,,,,,,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,InitializeDataChangedSignaler,
23,138,,2026-04-01 16:49:50.846521+00:00,,,,,,,,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,InitializeDataChangedSignaler,
23,139,,2026-04-01 16:49:51.198141+00:00,,,,,,,,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,InitializeDataChangedSignaler,
24,140,,2026-04-01 16:49:51.275238+00:00,,,,,,,,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,InitializeDataChangedSignaler,
24,141,,2026-04-01 16:49:51.288330+00:00,,,,,,,,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,InitializeDataChangedSignaler,
24,142,,2026-04-01 16:49:51.711084+00:00,,,,,,,,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,InitializeDataChangedSignaler,
24,143,,2026-04-01 16:49:51.732090+00:00,,,,,,,,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,InitializeDataChangedSignaler,
23,144,,2026-04-01 16:49:51.781109+00:00,,,,,,,,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,InitializeDataChangedSignaler,
24,145,,2026-04-01 16:49:51.813271+00:00,,,,,,,,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,InitializeDataChangedSignaler,
16394,146,,2026-04-01 16:49:58.531616+00:00,,,,,,,,,,
0,147,,2026-04-01 16:50:05.902750+00:00,,,,,,,,,,
16384,148,,2026-04-01 16:50:34.578098+00:00,,,,,,,,,,
0,149,,2026-04-01 16:51:04.236486+00:00,,,,,,,,,,
1531,150,,2026-04-01 17:17:42.359589+00:00,,,,,,,,,,
5615,151,,2026-04-01 17:17:48.143843+00:00,,,,,,,,,,
6003,152,,2026-04-01 17:17:51.032452+00:00,,,,,,,,,,
6000,153,,2026-04-01 17:17:51.372316+00:00,,,,,,,,,,
900,154,,2026-04-01 17:17:53.265373+00:00,,,,,,,,,,
16394,155,,2026-04-01 17:17:53.689659+00:00,,,,,,,,,,
1066,156,,2026-04-01 17:17:54.305897+00:00,,,,,,,,,,
1003,157,,2026-04-01 17:17:54.373623+00:00,,,,,,,,,,
902,158,,2026-04-01 17:17:54.613213+00:00,,,,,,,,,,
16388,159,,2026-04-01 17:18:01.053923+00:00,,,,,,,,,,
1003,160,,2026-04-01 17:18:08.798828+00:00,,,,,,,,,,
5611,161,,2026-04-01 17:18:20.942625+00:00,,,,,,,,,,
5617,162,,2026-04-01 17:18:23.226330+00:00,,,,,,,,,,
1,163,,2026-04-01 17:18:24.812721+00:00,,S-1-5-21-2352865859-2334931103-2005901029-1000,,,,,,,,
1,164,,2026-04-01 17:18:24.998314+00:00,,S-1-5-21-2352865859-2334931103-2005901029-1000,,,,,,,,
8230,165,,2026-04-01 17:18:31.228558+00:00,,,,,,,,,,
1003,166,,2026-04-01 17:18:33.595781+00:00,,,,,,,,,,
1003,167,,2026-04-01 17:18:33.617966+00:00,,,,,,,,,,
1003,168,,2026-04-01 17:18:33.647331+00:00,,,,,,,,,,
8198,169,,2026-04-01 17:18:33.663181+00:00,,,,,,,,,,
1001,170,,2026-04-01 17:18:46.482775+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_MicrosoftEdgeUpd_7541d642bd65f41c97ab6fa4b649cacddb462f_00000000_147adcaf-58ef-422f-8587-2b8d1ed1d9d9,,,,,,
1001,171,,2026-04-01 17:18:58.583103+00:00,,,crashpad_log,\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_setup.exe_4d9ddccf5c67af39c5e753567f54bfe6706fcd_00000000_d7706e3a-dca4-4751-b0e5-63e41bb5aba6,,,,,,
2562,172,,2026-04-01 17:19:14.879072+00:00,,,,,,,,,,
