EventID,RecordNumber,ErrorCode,Timestamp,Component,User,EventName,StorePath,Event,Url,Reason,PackageFamily,Operation,MessageText,CallerProcessName,AuthenticationPackageName,ForceLogoff,IpAddress,ProcessId,SubjectUserName,TargetUserName,CommandLine,ProcessName,ProcessCreationTime,LockoutObservationWindow,ParentProcessName,WorkstationName,MemberName,TargetLogonGuid,PackageFullName
24,259,,2026-04-01 16:17:45.135061+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
1,260,,2026-04-01 16:17:45.135176+00:00,,,,,,,1.0,,,,,,,,,,,,\Device\HarddiskVolume3\Windows\System32\svchost.exe,,,,,,,
4616,359,,2026-04-01 16:17:45.135418+00:00,,,,,,,,,,,,,,,0x00000000000005f8,LOCAL SERVICE,,,C:\Windows\System32\svchost.exe,,,,,,,
35,261,,2026-04-01 16:17:45.136377+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
24,262,,2026-04-01 16:17:45.136837+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
1,263,,2026-04-01 16:17:45.138052+00:00,,,,,,,1.0,,,,,,,,,,,,\Device\HarddiskVolume3\Windows\System32\svchost.exe,,,,,,,
4616,360,,2026-04-01 16:17:45.138172+00:00,,,,,,,,,,,,,,,0x00000000000005f8,LOCAL SERVICE,,,C:\Windows\System32\svchost.exe,,,,,,,
4624,361,,2026-04-01 16:17:45.205181+00:00,,,,,,,,,,,,Negotiate,,-,0x00000000000002e4,WIN-2RR949GCCSV$,SYSTEM,,C:\Windows\System32\services.exe,,,,-,,,
4672,362,,2026-04-01 16:17:45.205185+00:00,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,
24,264,,2026-04-01 16:17:45.210051+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
1,265,,2026-04-01 16:17:45.210302+00:00,,,,,,,1.0,,,,,,,,,,,,\Device\HarddiskVolume3\Windows\System32\svchost.exe,,,,,,,
4616,363,,2026-04-01 16:17:45.213703+00:00,,,,,,,,,,,,,,,0x00000000000005f8,LOCAL SERVICE,,,C:\Windows\System32\svchost.exe,,,,,,,
1008,14,,2026-04-01 16:17:45.517582+00:00,,,,,,,Full Index Reset,,,,,,,,,,,,,,,,,,,
1010,15,,2026-04-01 16:17:45.519804+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
4624,364,,2026-04-01 16:17:45.852949+00:00,,,,,,,,,,,,Negotiate,,-,0x00000000000002e4,WIN-2RR949GCCSV$,SYSTEM,,C:\Windows\System32\services.exe,,,,-,,,
4672,365,,2026-04-01 16:17:45.852955+00:00,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,
1004,16,,2026-04-01 16:17:46.392076+00:00,,,,,,,Full Index Reset,,,,,,,,,,,,,,,,,,,
1005,17,,2026-04-01 16:17:46.481220+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,18,,2026-04-01 16:17:46.511967+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
4799,366,,2026-04-01 16:17:46.514307+00:00,,,,,,,,,,,C:\Windows\System32\SearchIndexer.exe,,,,,WIN-2RR949GCCSV$,Administrators,,,,,,,,,
4624,367,,2026-04-01 16:17:46.810417+00:00,,,,,,,,,,,,Negotiate,,-,0x00000000000002e4,WIN-2RR949GCCSV$,SYSTEM,,C:\Windows\System32\services.exe,,,,-,,,
4672,368,,2026-04-01 16:17:46.810421+00:00,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,
3,266,,2026-04-01 16:17:46.919863+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
15,267,,2026-04-01 16:17:48.196573+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
4799,369,,2026-04-01 16:17:48.406427+00:00,,,,,,,,,,,C:\Windows\System32\svchost.exe,,,,,WIN-2RR949GCCSV$,Administrators,,,,,,,,,
5617,19,,2026-04-01 16:17:48.656155+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,268,,2026-04-01 16:17:51.115767+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
4624,370,,2026-04-01 16:17:51.442734+00:00,,,,,,,,,,,,Negotiate,,-,0x00000000000002e4,WIN-2RR949GCCSV$,SYSTEM,,C:\Windows\System32\services.exe,,,,-,,,
4672,371,,2026-04-01 16:17:51.442739+00:00,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,
86,20,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),2026-04-01 16:17:51.783461+00:00,,,,,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep,,,,"GetCACaps
GetCACaps: Not Found
{""Message"":""The authority \""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\"" does not exist.""}
HTTP/1.1 404 Not Found
Date: Wed, 01 Apr 2026 16:17:51 GMT
Content-Length: 121
Content-Type: application/json; charset=utf-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000;includeSubDomains
x-ms-request-id: 786d1892-ef44-49fd-bd2a-169ee429af96
",,,,,,,,,,,,,,,,
1025,269,,2026-04-01 16:17:51.788244+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
