ExecutablePath,EnabledNew,ClearReason,SystemTime,EfiTime,CorruptionActionState,param4,LidReliability,param9,OSmajorversion,updateTitle,CheckpointStatus,CurrentTimeZoneID,IdleImplementation,ProcessId,OldTime,State,NewLatchTimerWaitingSystemUpdateCompletion,HiveName,ImagePath,updateRevisionNumber,CmosTime,LastShutdownGood,param3,InputSuppressionState,OSEditionID,OSName,StartTime,SupportInfo2,TimeZoneBias,serviceGuid,SystemSleepTransitionsToOn,CsEntryScenarioInstanceIdV2,PreviousEnergyCapacityAtStart,BootType,ShutdownReason,PreviousTimerStartTime,ConnectedStandbyInProgress,BootStatusPolicy,KeysUpdated,TimeZoneInfoCacheUpdated,param5,Data,TmId,RelaxMinimumPasswordLengthLimits,ProcessingMode,DwordVal,PreviousLatchTimerExistsButDisabled,ProcessingTimeInMilliseconds,Turn,Host OS Major version,HResult,PolicyFileExists,DomainController,LidState,TimeDeltaInMs,DeviceTime,StartType,updateGuid,PreviousFullEnergyCapacityAtStart,OSservicepackmajorversion,Timestamp,Status,param7,PreviousFullEnergyCapacityAtEnd,AccountName,LastBootId,UpdateReason,SleepInProgress,NewTime,OriginalSize,DCName,Checkpoint,param10,NominalFrequency,Host OS Minor version,ShutdownEventCode,PreviousTimerExists,ServiceVersion,EnableDisableReason,MinimumPerformancePercent,param6,EfiTimeZoneBias,AdaptiveTargetState,DeviceNameLength,Number,IsUnattended,Installation choice,CountOld,SystemInCmosMode,BuildVersion,LastBootGood,AttemptedRecoveryEnforcementSucceeded,param2,BugcheckParameter2,OSminorversion,MinimumPasswordLengthAudit,LoaderTime,PowerStateAc,ReserveStatus,BootMode,Host OS Service pack major number,TSId,BugcheckParameter1,InternalBootFlags,RmId,RecordNumber,PreviousTimerExistsButDisabled,ADDomainJoin,CurrentStratumNumber,Config,CsEntryScenarioInstanceId,StopTime,ProcessName,ExtraString,Path,errorCode,IsTestConfig,BugcheckCode,ErrorMessage,PowerButtonTimestamp,MonitorReason,PreviousSessionDurationInUs,ServiceName,ExitReason,BugcheckParameter4,ManualPeer,BugcheckParameter3,OSservicepackName,LongPowerButtonPressDetected,ProcessID,MajorVersion,EntryCount,RealTimeIsUniversal,UserSid,BootId,BucketConfidenceLevel,GracePeriod,DeviceVersionMinor,PowerButtonSuppressionState,Level,OSbuildversion,FinalStatus,EfiDaylightFlags,MinimumThrottlePercent,FirstRefresh,PerformanceImplementation,Host OS Service pack minor number,MaximumPerformancePercent,NextSessionType,ShutdownActionType,HRESULT,QfeVersion,DeviceAttributes,CurrentBias,LoadOptions,TimeSource,ProcessImageFileNameWin32,IsSoftBoot,EventID,NewSize,IsAutoEnabled,ExtraStringLength,DeviceName,Unknown,param8,CountNew,HardwareChecks,NewTimerNeeded,MinorVersion,Group,BugcheckInfoFromEFI,DriveName,BootAppStatus,BitlockerUserInputTime,BootMenuPolicy,Success,BucketId,UpdateType,Host OS Build number,WHEABootErrorCount,NextSessionId,param1,RetryMinutes,PreviousEnergyCapacityAtEnd,SupportInfo1,TimeSourceRefId,Json,Url,OSservicepackminorversion,PackageFullName,ServiceType,HiveNameLength,param11,Reason,Phase,DomainPeer,IdleStateCount,driverFile,PreviousSessionId,VsmPolicy,NewTimerWaitingUpdateCompletion,InternalCode,IsLicensed,AADDomainJoin,Default SD String:,NewLatchTimerNeeded,PreviousSessionType,lineNumber,FailureReason,HalRtcErrorCode,DeviceVersionMajor,DirtyPages,ShutdownDuration,MinimumPasswordLength
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:16:19.893442+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6011,,,,,"<string>WIN-2RR949GCCSV</string>
<string></string>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:16:19.893585+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6009,,,,,"<string>10.00.</string>
<string>26200</string>
<string></string>
<string>Multiprocessor Free</string>
<string>0</string>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:16:19.893616+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.500000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560154+00:00,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,26100,,,,,,,,,,0,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,8036,,,,,,,12,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2026-04-01 20:15:47.500000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560156+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 20:15:46+00:00,,,,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,25,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560318+00:00,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560665+00:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560667+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
,,,,2026-04-01 12:15:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560669+00:00,,,,,,,,,,,,,,,,,,,,,2047,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560669+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
