agent\.name,agent\.ip,rule\.id,rule\.description,data\.vulnerability\.severity,location,data\.win\.system\.severityValue,data\.win\.system\.systemTime,rule\.info,full_log
NormalLogs,192.168.80.140,23505,CVE-2019-15316 affects Steam,High,vulnerability-detector, , , , 
NormalLogs,192.168.80.140,23505,CVE-2019-17180 affects Steam,High,vulnerability-detector, , , , 
NormalLogs,192.168.80.140,23505,CVE-2020-15530 affects Steam,High,vulnerability-detector, , , , 
NormalLogs,192.168.80.140,23505,CVE-2019-15315 affects Steam,High,vulnerability-detector, , , , 
NormalLogs,192.168.80.140,23504,CVE-2019-14743 affects Steam,Medium,vulnerability-detector, , , , 
NormalLogs,192.168.80.140,60642,Software protection service scheduled successfully., ,EventChannel,INFORMATION,2026-04-01T21:24:02.3267917Z, , 
NormalLogs,192.168.80.140,60642,Software protection service scheduled successfully., ,EventChannel,INFORMATION,2026-04-01T21:19:26.8328324Z, , 
wazuh-server, ,19012,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure sticky bit is set on all world-writable directories.: Status changed from passed to 'not applicable', ,sca, , , , 
wazuh-server, ,19009,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure sticky bit is set on all world-writable directories., ,sca, , , , 
NormalLogs,192.168.80.140,61104,Service startup type was changed, ,EventChannel,INFORMATION,2026-04-01T19:55:18.6380822Z,This does not appear to be logged on Windows 2000, 
wazuh-server, ,19004,SCA summary: CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Score less than 50% (43), ,sca, , , , 
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072198.979:243): avc:  denied  { read } for  pid=1 comm=""systemd"" name=""wazuh-starter.service"" dev=""sda1"" ino=1805067 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072830.803:217): avc:  denied  { getattr } for  pid=3843 comm=""login"" path=""/var/lib/update-motd/motd"" dev=""sda1"" ino=34232259 scontext=system_u:system_r:local_login_t:s0-s0:c0.c1023 tcontext=system_u:object_r:var_lib_t:s0 tclass=file permissive=1"
wazuh-server, ,5501,PAM: Login session opened., ,journald, , , ,Apr 01 19:47:10 wazuh-server login[3843]: pam_unix(login:session): session opened for user wazuh-user(uid=1000) by (uid=0)
wazuh-server, ,533,Listened ports status (netstat) changed (new port opened or closed)., ,netstat listening ports, , , ,"ossec: output: 'netstat listening ports':
tcp 0.0.0.0:22 0.0.0.0:* /usr
tcp6 :::22 :::* /usr
udp 192.168.80.142:68 0.0.0.0:* 3752/systemd-networ
udp 127.0.0.1:323 0.0.0.0:* 3163/chronyd
udp6 ::1:323 :::* 3163/chronyd
tcp 0.0.0.0:443 0.0.0.0:* 3088/node
tcp 0.0.0.0:1514 0.0.0.0:* 4326/wazuh-remoted
tcp 0.0.0.0:1515 0.0.0.0:* 4142/wazuh-authd
tcp 0.0.0.0:55000 0.0.0.0:* 4086/python3
tcp6 :::55000 :::* 4086/python3"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072808.337:194): avc:  denied  { ioctl } for  pid=1 comm=""systemd"" path=""/etc/systemd/system/updateIndexerHeap.service"" dev=""sda1"" ino=1805065 ioctlcmd=0x5401 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
wazuh-server, ,533,Listened ports status (netstat) changed (new port opened or closed)., ,netstat listening ports, , , ,"ossec: output: 'netstat listening ports':
tcp 0.0.0.0:22 0.0.0.0:* /usr
tcp6 :::22 :::* /usr
udp 127.0.0.1:323 0.0.0.0:* 3169/chronyd
udp6 ::1:323 :::* 3169/chronyd
tcp 0.0.0.0:1514 0.0.0.0:* 4475/wazuh-remoted
tcp 0.0.0.0:1515 0.0.0.0:* 4325/wazuh-authd
tcp6 127.0.0.1:9200 :::* 3865/java
tcp6 127.0.0.1:9300 :::* 3865/java
tcp 0.0.0.0:55000 0.0.0.0:* 4274/python3
tcp6 :::55000 :::* 4274/python3"
