RecordNumber,Timestamp,EventID,EventName,MessageText,AccessGranted,AccessList,AccessMask,AccessRemoved,AccountExpires,AdvancedOptions,AlgorithmName,AllowedToDelegateTo,AuthenticationPackageName,CallerProcessId,CallerProcessName,ClientCreationTime,ClientProcessId,CommandLine,ConfigAccessPolicy,CountOfCredentialsReturned,DisableIntegrityChecks,DisplayName,DomainBehaviorVersion,DomainName,DomainPolicyChanged,DomainSid,Dummy,ElevatedToken,FileName,Flags,FlightSigning,ForceLogoff,HandleId,HomeDirectory,HomePath,HypervisorDebug,HypervisorLaunchType,HypervisorLoadOptions,Identity,ImpersonationLevel,IpAddress,IpPort,KernelDebug,KeyFilePath,KeyLength,KeyName,KeyType,LinkName,LmPackageName,LoadOptions,LockoutDuration,LockoutObservationWindow,LockoutThreshold,LogonGuid,LogonHours,LogonProcessName,LogonType,MachineAccountQuota,MandatoryLabel,MaxPasswordAge,MemberName,MemberSid,MinPasswordAge,MinPasswordLength,MixedDomainMode,NewProcessId,NewProcessName,NewSd,NewState,NewTargetUserName,NewTime,NewUacValue,ObjectName,ObjectServer,ObjectType,OemInformation,OldSd,OldTargetUserName,OldUacValue,Operation,PackageSid,ParentProcessName,PasswordHistoryLength,PasswordLastSet,PasswordProperties,PreviousTime,PrimaryGroupId,PrivilegeList,ProcessCreationTime,ProcessId,ProcessName,ProfilePath,ProviderName,PuaCount,PuaPolicyId,ReadOperation,RemoteCredentialGuard,RemoteEventLogging,Resource,ResourceAttributes,ResourceManager,RestrictedAdminMode,ReturnCode,SamAccountName,Schema,SchemaFriendlyName,ScriptPath,SidHistory,SubjectDomainName,SubjectLogonId,SubjectUserName,SubjectUserSid,TargetDomainName,TargetInfo,TargetLinkedLogonId,TargetLogonGuid,TargetLogonId,TargetName,TargetOutboundDomainName,TargetOutboundUserName,TargetProcessId,TargetProcessName,TargetServerName,TargetSid,TargetUserName,TargetUserSid,TestSigning,TokenElevationType,TransactionId,TransmittedServices,Type,UserAccountControl,UserParameters,UserPrincipalName,UserWorkstations,VirtualAccount,VsmLaunchType,Workstation,WorkstationName
1,2026-04-01 19:15:52.325634+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x000000000000004c,Registry,,,,,,,,,,,,,,,,,,,,,,,0x0000000000000004,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
2,2026-04-01 19:15:52.325876+00:00,4696,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000000000004,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x00000000000003e7,,,,0x000000000000004c,Registry,,,-,S-1-0-0,,,,,,,,,,,,,
3,2026-04-01 19:15:52.325880+00:00,4826,Microsoft-Windows-Security-Auditing,,,,,,,%%1843,,,,,,,,,%%1846,,%%1843,,,,,,,,,,%%1843,,,,,%%1843,%%1848,-,,,,,%%1843,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%1843,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,,,,,,,,,,,,,,,%%1843,,,,,,,,,,%%1848,,
4,2026-04-01 19:15:52.327856+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x0000000000000190,C:\Windows\System32\smss.exe,,,,,,,,,,,,,,,,,,,,,,,0x0000000000000004,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
5,2026-04-01 19:15:53.161638+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x00000000000001a0,C:\Windows\System32\autochk.exe,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,0x0000000000000190,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
6,2026-04-01 19:15:53.666651+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x00000000000001f8,C:\Windows\System32\setupcl.exe,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,0x0000000000000190,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
7,2026-04-01 19:15:57.540720+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x0000000000000218,C:\Windows\System32\smss.exe,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,0x0000000000000190,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
8,2026-04-01 19:15:57.632614+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x0000000000000220,C:\Windows\System32\csrss.exe,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,0x0000000000000218,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
9,2026-04-01 19:15:57.690784+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x0000000000000258,C:\Windows\System32\smss.exe,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,0x0000000000000190,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
10,2026-04-01 19:15:57.694523+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x0000000000000260,C:\Windows\System32\wininit.exe,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,0x0000000000000218,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
11,2026-04-01 19:15:57.696304+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x0000000000000268,C:\Windows\System32\csrss.exe,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,0x0000000000000258,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
12,2026-04-01 19:15:57.724939+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x0000000000000298,C:\Windows\System32\winlogon.exe,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,0x0000000000000258,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
13,2026-04-01 19:15:57.819704+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x00000000000002dc,C:\Windows\System32\services.exe,,,,,,,,,,,,,,,C:\Windows\System32\wininit.exe,,,,,,,,0x0000000000000260,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
