RecordNumber,Timestamp,EventID,EventName,MessageText,User,ErrorCode,Reason,Component,Url
1,2026-04-01 19:16:02.070658+00:00,1531,Microsoft-Windows-User Profiles Service,,,,,,
2,2026-04-01 19:16:09.234800+00:00,5615,Microsoft-Windows-WMI,,,,,,
3,2026-04-01 19:16:09.584856+00:00,5617,Microsoft-Windows-WMI,,,,,,
4,2026-04-01 19:16:38.559408+00:00,0,edgeupdate,,,,,,
5,2026-04-01 19:16:58.374254+00:00,4112,Microsoft-Windows-CAPI2,,,,,,
6,2026-04-01 19:17:28.774267+00:00,4097,Microsoft-Windows-CAPI2,,,,,,
7,2026-04-01 19:17:30.781914+00:00,508,ESENT,,,,,,
8,2026-04-01 19:17:54.122599+00:00,86,Microsoft-Windows-CertificateServicesClient-CertEnroll,,,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep
9,2026-04-01 19:17:57.908987+00:00,1532,Microsoft-Windows-User Profiles Service,,,,,,
10,2026-04-01 19:18:19.339716+00:00,4625,Microsoft-Windows-EventSystem,,,,,,
11,2026-04-01 19:18:11.126183+00:00,1531,Microsoft-Windows-User Profiles Service,,,,,,
12,2026-04-01 19:18:18.130188+00:00,1534,Microsoft-Windows-User Profiles Service,,,,,{D63AA156-D534-4BAC-9BF1-55359CF5EC30},
13,2026-04-01 19:18:20.414312+00:00,5615,Microsoft-Windows-WMI,,,,,,
14,2026-04-01 16:17:45.517582+00:00,1008,Microsoft-Windows-Search,,,,Full Index Reset,,
15,2026-04-01 16:17:45.519804+00:00,1010,Microsoft-Windows-Search,,,,,,
16,2026-04-01 16:17:46.392076+00:00,1004,Microsoft-Windows-Search,,,,Full Index Reset,,
17,2026-04-01 16:17:46.481220+00:00,1005,Microsoft-Windows-Search,,,,,,
18,2026-04-01 16:17:46.511967+00:00,1003,Microsoft-Windows-Search,,,,,,
19,2026-04-01 16:17:48.656155+00:00,5617,Microsoft-Windows-WMI,,,,,,
20,2026-04-01 16:17:51.783461+00:00,86,Microsoft-Windows-CertificateServicesClient-CertEnroll,,,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep
21,2026-04-01 16:17:52.062466+00:00,86,Microsoft-Windows-CertificateServicesClient-CertEnroll,,,Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND),,,https://VMW-KeyId-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net/templates/Aik/scep
22,2026-04-01 16:17:55.673452+00:00,6003,Microsoft-Windows-Winlogon,,,,,,
23,2026-04-01 16:17:56.300859+00:00,6000,Microsoft-Windows-Winlogon,,,,,,
24,2026-04-01 16:18:03.266760+00:00,23,Microsoft-Windows-AppModel-State,,,,,,
