Full_Log,Suspicion_Score,Suspicious,Reason
"{""RowID"": 29, ""EventID"": 86, ""RecordNumber"": 20, ""ErrorCode"": ""Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND)"", ""Timestamp"": ""2026-04-01 16:17:51.783461+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": NaN, ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": ""GetCACaps\nGetCACaps: Not Found\n{\""Message\"":\""The authority \\\""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\\\"" does not exist.\""}\nHTTP/1.1 404 Not Found\nDate: Wed, 01 Apr 2026 16:17:51 GMT\nContent-Length: 121\nContent-Type: application/json; charset=utf-8\nX-Content-Type-Options: nosniff\nStrict-Transport-Security: max-age=31536000;includeSubDomains\nx-ms-request-id: 786d1892-ef44-49fd-bd2a-169ee429af96\n"", ""ProcessCreationTime"": NaN, ""Source"": ""Appiclation"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": NaN, ""IpAddress"": NaN, ""SubjectUserName"": NaN, ""TargetUserName"": NaN, ""CommandLine"": NaN, ""ProcessName"": NaN, ""ParentProcessName"": NaN, ""WorkstationName"": NaN}",9,Yes,HTTP 404 error for a security authority lookup indicates a potential misconfiguration or malicious redirection attempt.
"{""RowID"": 31, ""EventID"": 86, ""RecordNumber"": 21, ""ErrorCode"": ""Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND)"", ""Timestamp"": ""2026-04-01 16:17:52.062466+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": NaN, ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": ""GetCACaps\nGetCACaps: Not Found\n{\""Message\"":\""The authority \\\""vmw-keyid-4ee141457063b21f90e0af375a94b4f3b20f36e6.microsoftaik.azure.net\\\"" does not exist.\""}\nHTTP/1.1 404 Not Found\nDate: Wed, 01 Apr 2026 16:17:51 GMT\nContent-Length: 121\nContent-Type: application/json; charset=utf-8\nX-Content-Type-Options: nosniff\nStrict-Transport-Security: max-age=31536000;includeSubDomains\nx-ms-request-id: 24265d19-b314-48f5-ab25-28226e424174\n"", ""ProcessCreationTime"": NaN, ""Source"": ""Appiclation"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": NaN, ""IpAddress"": NaN, ""SubjectUserName"": NaN, ""TargetUserName"": NaN, ""CommandLine"": NaN, ""ProcessName"": NaN, ""ParentProcessName"": NaN, ""WorkstationName"": NaN}",9,Yes,"Repeated HTTP 404 error for a security authority lookup, similar to another log, suggesting a persistent issue or attack."
"{""RowID"": 24, ""EventID"": 4624, ""RecordNumber"": 465, ""ErrorCode"": NaN, ""Timestamp"": ""2026-04-01 16:18:14.348148+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": ""0x00000000000002e4"", ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": NaN, ""ProcessCreationTime"": NaN, ""Source"": ""Security"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""-"", ""SubjectUserName"": ""WIN-2RR949GCCSV$"", ""TargetUserName"": ""SYSTEM"", ""CommandLine"": NaN, ""ProcessName"": ""C:\\Windows\\System32\\services.exe"", ""ParentProcessName"": NaN, ""WorkstationName"": ""-""}",9,Yes,"Repeated authentication attempts using 'Negotiate' with SYSTEM privileges from a single process ID, indicating potential unauthorized access or privilege escalation attempt."
"{""RowID"": 26, ""EventID"": 4624, ""RecordNumber"": 467, ""ErrorCode"": NaN, ""Timestamp"": ""2026-04-01 16:18:16.386715+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": ""0x00000000000002e4"", ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": NaN, ""ProcessCreationTime"": NaN, ""Source"": ""Security"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""-"", ""SubjectUserName"": ""WIN-2RR949GCCSV$"", ""TargetUserName"": ""SYSTEM"", ""CommandLine"": NaN, ""ProcessName"": ""C:\\Windows\\System32\\services.exe"", ""ParentProcessName"": NaN, ""WorkstationName"": ""-""}",9,Yes,"Repeated authentication attempts using 'Negotiate' with SYSTEM privileges from a single process ID, indicating potential unauthorized access or privilege escalation attempt."
"{""RowID"": 28, ""EventID"": 4624, ""RecordNumber"": 469, ""ErrorCode"": NaN, ""Timestamp"": ""2026-04-01 16:18:16.530336+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": ""0x00000000000002e4"", ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": NaN, ""ProcessCreationTime"": NaN, ""Source"": ""Security"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""-"", ""SubjectUserName"": ""WIN-2RR949GCCSV$"", ""TargetUserName"": ""SYSTEM"", ""CommandLine"": NaN, ""ProcessName"": ""C:\\Windows\\System32\\services.exe"", ""ParentProcessName"": NaN, ""WorkstationName"": ""-""}",9,Yes,"Repeated authentication attempts using 'Negotiate' with SYSTEM privileges from a single process ID, indicating potential unauthorized access or privilege escalation attempt."
"{""RowID"": 30, ""EventID"": 4624, ""RecordNumber"": 471, ""ErrorCode"": NaN, ""Timestamp"": ""2026-04-01 16:18:16.750933+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": ""0x00000000000002e4"", ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": NaN, ""ProcessCreationTime"": NaN, ""Source"": ""Security"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""-"", ""SubjectUserName"": ""WIN-2RR949GCCSV$"", ""TargetUserName"": ""SYSTEM"", ""CommandLine"": NaN, ""ProcessName"": ""C:\\Windows\\System32\\services.exe"", ""ParentProcessName"": NaN, ""WorkstationName"": ""-""}",9,Yes,"Repeated authentication attempts using 'Negotiate' with SYSTEM privileges from a single process ID, indicating potential unauthorized access or privilege escalation attempt."
"{""RowID"": 33, ""EventID"": 4624, ""RecordNumber"": 473, ""ErrorCode"": NaN, ""Timestamp"": ""2026-04-01 16:18:30.872818+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": ""0x00000000000002e4"", ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": NaN, ""ProcessCreationTime"": NaN, ""Source"": ""Security"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""-"", ""SubjectUserName"": ""WIN-2RR949GCCSV$"", ""TargetUserName"": ""SYSTEM"", ""CommandLine"": NaN, ""ProcessName"": ""C:\\Windows\\System32\\services.exe"", ""ParentProcessName"": NaN, ""WorkstationName"": ""-""}",9,Yes,"Repeated authentication attempts using 'Negotiate' with SYSTEM privileges from a single process ID, indicating potential unauthorized access or privilege escalation attempt."
"{""RowID"": 16, ""EventID"": 4624, ""RecordNumber"": 557, ""ErrorCode"": NaN, ""Timestamp"": ""2026-04-01 16:20:42.042547+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": ""0x00000000000002e4"", ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": NaN, ""ProcessCreationTime"": NaN, ""Source"": ""Security"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""-"", ""SubjectUserName"": ""WIN-2RR949GCCSV$"", ""TargetUserName"": ""SYSTEM"", ""CommandLine"": NaN, ""ProcessName"": ""C:\\Windows\\System32\\services.exe"", ""ParentProcessName"": NaN, ""WorkstationName"": ""-""}",9,Yes,The log indicates a login event with SYSTEM privileges which could be an indicator of privilege escalation or unauthorized access.
"{""RowID"": 19, ""EventID"": 4624, ""RecordNumber"": 559, ""ErrorCode"": NaN, ""Timestamp"": ""2026-04-01 16:20:51.913786+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": ""0x00000000000002e4"", ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": NaN, ""ProcessCreationTime"": NaN, ""Source"": ""Security"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""-"", ""SubjectUserName"": ""WIN-2RR949GCCSV$"", ""TargetUserName"": ""SYSTEM"", ""CommandLine"": NaN, ""ProcessName"": ""C:\\Windows\\System32\\services.exe"", ""ParentProcessName"": NaN, ""WorkstationName"": ""-""}",9,Yes,Repeated SYSTEM level access from the same user and process could indicate a persistent attempt to maintain elevated privileges.
"{""RowID"": 75, ""EventID"": 4624, ""RecordNumber"": 577, ""ErrorCode"": NaN, ""Timestamp"": ""2026-04-01 16:27:42.811846+00:00"", ""User"": NaN, ""EventName"": NaN, ""ProcessId"": ""0x00000000000002e4"", ""Reason"": NaN, ""Operation"": NaN, ""MessageText"": NaN, ""ProcessCreationTime"": NaN, ""Source"": ""Security"", ""CallerProcessName"": NaN, ""AuthenticationPackageName"": ""Negotiate"", ""IpAddress"": ""-"", ""SubjectUserName"": ""WIN-2RR949GCCSV$"", ""TargetUserName"": ""SYSTEM"", ""CommandLine"": NaN, ""ProcessName"": ""C:\\Windows\\System32\\services.exe"", ""ParentProcessName"": NaN, ""WorkstationName"": ""-""}",9,Yes,"Another instance of SYSTEM level access, further supporting the suspicion of unauthorized or malicious activity."
